move,text_entry
last-resort,"Inflicts regular damage.  This move can only be used if each of the user's other moves has been used at least once since the user entered the field.  If this is the user's only move, this move will fail."
foresight,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.
vital-throw,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
thunderbolt,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
gastro-acid,The target's ability is disabled as long as it remains on the field.  This effect is passed on by baton pass.
hydro-pump,Inflicts regular damage.
dazzling-gleam,Inflicts regular damage.
low-kick,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.  Target's weight | Power --------------- | ----: Up to 10kg      |    20 Up to 25kg      |    40 Up to 50kg      |    60 Up to 100kg     |    80 Up to 200kg     |   100 Above 200kg     |   120 "
refresh,"Removes a burn, paralysis, or poison from the user."
bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect."
teatime,The user has teatime with all the Pokémon in the battle. Each Pokémon eats its held Berry.
ancient-power,Inflicts regular damage. Has a $effect_chance% chance to raise all of the user's stats one stage.
grass-knot,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.  Target's weight | Power --------------- | ----: Up to 10kg      |    20 Up to 25kg      |    40 Up to 50kg      |    60 Up to 100kg     |    80 Up to 200kg     |   100 Above 200kg     |   120 "
thrash,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.  safeguard does not protect against the confusion from this move."
rock-blast,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
captivate,"Lowers the target's Special Attack by two stages.  If the user and target are the same gender, or either is genderless, this move will fail."
draco-meteor,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
grass-whistle,Puts the target to sleep.
laser-focus,The user's next move will result in a critical hit.
electrify,Changes the target's move's type to electric if it hasn't moved yet this turn.
follow-me,"Until the end of this turn, any moves that opposing Pokémon target solely at the user's ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.  This effect takes priority over lightning rod and storm drain.  If the user's ally switches out, opposing Pokémon may still hit it with pursuit.  This move cannot be selected by assist or metronome."
echoed-voice,"Inflicts regular damage.  If any friendly Pokémon used this move earlier this turn or on the previous turn, that use's power is added to this move's power, to a maximum of 200."
beak-blast,"Begins charging at the start of the turn, then attacks as normal.  Any Pokémon that makes contact with the user while charging is burned.  The charging is not affected by accuracy, sleep, paralysis, or any other effect that would interfere with a move."
jungle-healing,Inflicts regular damage.
counter,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.  This move cannot be copied by mirror move, nor selected by assist or metronome."
nuzzle,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
tearful-look,Lowers the target's Attack and Special Attack by one stage each.
sticky-web,"Shoots a web over the opponents' side of the field, which lowers the Speed of any opposing Pokémon that enters the field by one stage.  Pokémon in the air, such as flying-types and those with levitate, are unaffected.  rapid spin removes Sticky Web from the user's side of the field; defog removes it from both sides."
barrage,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
foul-play,Inflicts regular damage.  Damage is calculated using the target's attacking stat rather than the user's.
play-rough,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Attack by one stage.
solar-blade,"Inflicts regular damage.  User charges for one turn before attacking.  During sunny day, the charge turn is skipped.  During hail, rain dance, or sandstorm, power is halved.  This move cannot be selected by sleep talk."
rain-dance,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.  If the user is holding damp rock, this effect lasts for eight turns.  thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.  solar beam has half power.  moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.  Pokémon with swift swim have doubled original Speed.  Pokémon with forecast become water.  Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn."
light-screen,"Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.  If the user is holding light clay, the barrier lasts for eight turns.  brick break or defog used by an opponent will destroy the barrier."
leaf-blade,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
tail-whip,Lowers the target's Defense by one stage.
seed-bomb,Inflicts regular damage.
return,"Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
pluck,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.  If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.  If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen."
zing-zap,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
snipe-shot,"Inflicts regular damage, then (if successful) sets reflect on the user's side of the field."
heal-order,Heals the user for half its max HP.
stealth-rock,"Spreads sharp rocks around the opposing field, damaging any Pokémon that enters the field for 1/8 its max HP.  This damage is affected by the entering Pokémon's susceptibility to rock moves.  rapid spin removes this effect from its user's side of the field."
spike-cannon,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
pin-missile,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
agility,Raises the user's Speed by two stages.
petal-dance,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.  safeguard does not protect against the confusion from this move."
gust,"Inflicts regular damage.  If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
acid-armor,Raises the user's Defense by two stages.
noble-roar,Lowers the target's Attack and Special Attack by one stage.
payback,"Inflicts regular damage.  If the target uses a move or switches out this turn before this move is used, this move has double power."
seed-flare,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by two stages.
fusion-flare,"Inflicts regular damage.  If a friendly Pokémon used fusion bolt earlier this turn, this move has double power."
roar-of-time,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
steel-roller,Inflicts regular damage.
baton-pass,"User switches out, and the trainer selects a replacement Pokémon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon.  The following move effects are passed:  * aqua ring * both the user's and target's effect of block, mean look, and spider web * the curse effect of curse * embargo * focus energy or an activated lansat berry * gastro acid * ingrain * being sapped by leech seed * being targeted by lock on or mind reader * magnet rise * perish song's counter * power trick * substitute; the doll's HP is unchanged  The replacement Pokémon does not trigger effects that respond to Pokémon switching in."
guard-split,Averages the user's unmodified Defense with the target's unmodified Defense; the value becomes the unmodified Defense for both Pokémon. Unmodified Special Defense is averaged the same way.
octazooka,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's accuracy by one stage.
water-spout,"Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP."
lovely-kiss,Puts the target to sleep.
leafage,Inflicts regular damage.
memento,Lowers the target's Attack and Special Attack by two stages.  User faints.
air-cutter,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
recover,Heals the user for half its max HP.
egg-bomb,Inflicts regular damage.
power-trip,"Inflicts regular damage.  Power is increased by 100% its original value for every stage any of the user's stats have been raised.  Accuracy, evasion, and lowered stats do not affect this move's power.  For a Pokémon with all five stats modified to +6, this move's power is 31×."
transform,"User copies the target's species, weight, type, ability, calculated stats (except HP), and moves.  Copied moves will all have 5 PP remaining.  IVs are copied for the purposes of hidden power, but stats are not recalculated.  choice band, choice scarf, and choice specs stay in effect, and the user must select a new move.  This move cannot be copied by mirror move, nor forced by encore."
branch-poke,Inflicts regular damage.
grass-pledge,"Inflicts regular damage.  If a friendly Pokémon used fire pledge earlier this turn, all opposing Pokémon will take 1/8 their max HP in damage at the end of every turn for four turns (including this one)."
final-gambit,Inflicts damage equal to the user's remaining HP.  User faints.
fleur-cannon,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
meteor-beam,Inflicts regular damage.
hex,"Inflicts regular damage.  If the target has a major status ailment, this move has double power."
crush-claw,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Defense by one stage.
aromatic-mist,Raises a selected ally's Special Defense by one stage.
waterfall,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
aurora-beam,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Attack by one stage.
taunt,"Target is forced to only use damaging moves for the next 3–5 turns, selected at random.  Moves that select other moves not known in advance do not count as damaging.  assist, copycat, me first, metronome, mirror move, and sleep talk do not directly inflict damage and thus may not be used.  bide, counter, endeavor, metal burst, and mirror coat are allowed."
simple-beam,Changes the target's ability to simple.
